,Game,Year,Genre,North America,Europe,Japan,Rest of World,Global
318,Golf Club 2,2017.0,Sports,0.05,0.0,0.0,0.01,0.06
319,Mark McMorris Infinite Air,2016.0,Sports,0.05,0.0,0.0,0.01,0.06
320,Atari Flashback Classics: Volume 2,2016.0,Misc,0.05,0.0,0.0,0.01,0.06
321,Hunting Simulator,2017.0,Shooter,0.05,0.0,0.0,0.01,0.06
322,Styx: Shards of Darknes,2017.0,Action,0.05,0.0,0.0,0.01,0.06
323,Marvel's Guardians of the Galaxy: The Telltale Series,2017.0,Adventure,0.05,0.0,0.0,0.01,0.05
324,Baja: Edge of Control HD,2017.0,Racing,0.05,0.0,0.0,0.01,0.05
325,Agatha Christie's The ABC Murders,2016.0,Adventure,0.04,0.0,0.0,0.01,0.05
326,Brothers: A Tale of Two Sons,2015.0,Adventure,0.04,0.01,0.0,0.01,0.05
327,The Walking Dead: A Telltale Series Collection,2017.0,Adventure,0.05,0.0,0.0,0.01,0.05
328,Rugby 18,2017.0,Sports,0.04,0.0,0.0,0.01,0.05
329,Has-Been Heroes,2017.0,Action,0.04,0.0,0.0,0.01,0.05
330,Deformers,2017.0,Action,0.04,0.0,0.0,0.01,0.05
331,Extinction,2018.0,Action,0.04,0.0,0.0,0.01,0.05
332,Resident Evil 4 HD,2016.0,Action-Adventure,0.04,0.0,0.0,0.01,0.05
333,The Technomancer,2016.0,Role-Playing,0.03,0.02,0.0,0.0,0.05
334,Cars 3: Driven to Win,2017.0,Racing,0.04,0.0,0.0,0.01,0.05
335,Pillars of Eternity,2017.0,Role-Playing,0.04,0.0,0.0,0.01,0.05
336,Just Sing,2016.0,Music,0.04,0.0,0.0,0.01,0.05
337,Mighty No. 9,2016.0,Platform,0.04,0.0,0.0,0.01,0.05
338,Batman: The Enemy Within,2017.0,Adventure,0.04,0.0,0.0,0.01,0.05
339,WRC 7,2017.0,Racing,0.04,0.0,0.0,0.01,0.05
340,King's Quest: The Complete Collection,2016.0,Adventure,0.04,0.0,0.0,0.01,0.05
341,Marvel Pinball: Epic Collection Volume 1,2016.0,Puzzle,0.04,0.0,0.0,0.01,0.05
342,Road Rage,2017.0,Racing,0.04,0.0,0.0,0.0,0.04
343,Dragon's Dogma,2017.0,Role-Playing,0.04,0.0,0.0,0.0,0.04
344,Deer Hunter Reloaded,2017.0,Shooter,0.04,0.0,0.0,0.0,0.04
345,Overcooked,2016.0,Action,0.04,0.0,0.0,0.0,0.04
346,Resident Evil 5 HD,2016.0,Action,0.04,0.0,0.0,0.0,0.04
347,Darksiders: Warmastered Edition,2016.0,Action-Adventure,0.04,0.0,0.0,0.0,0.04
348,Valkyria: Azure Revolution,2017.0,Role-Playing,0.04,0.0,0.0,0.0,0.04
349,Game of Thrones (Telltale),2015.0,Adventure,0.04,0.0,0.0,0.0,0.04
350,Terraria,2014.0,Action,0.0,0.04,0.0,0.0,0.04
351,Elex,2017.0,Role-Playing,0.04,0.0,0.0,0.0,0.04
352,Battle Chasers: Nightwar,2017.0,Role-Playing,0.04,0.0,0.0,0.0,0.04
353,Don't Starve,2018.0,Adventure,0.04,0.0,0.0,0.0,0.04
354,Dead Rising 2,2016.0,Action,0.03,0.0,0.0,0.0,0.04
355,Don Bradman Cricket 14,2015.0,Sports,0.0,0.04,0.0,0.0,0.04
356,Monster Jam: Crush It,2016.0,Racing,0.03,0.0,0.0,0.0,0.04
357,Shadow Warrior (2013),2014.0,Shooter,0.0,0.04,0.0,0.0,0.04
358,Dead Alliance,2017.0,Shooter,0.03,0.0,0.0,0.0,0.04
359,Warriors Orochi 3,2014.0,Action,0.01,0.03,0.0,0.0,0.04
360,Dead Rising,2016.0,Action,0.03,0.0,0.0,0.0,0.04
361,Sine Mora,2017.0,Action,0.03,0.0,0.0,0.0,0.04
362,WRC 6,2016.0,Racing,0.03,0.0,0.0,0.0,0.03
363,Black Mirror,2017.0,Adventure,0.03,0.0,0.0,0.0,0.03
364,Pure Farming 2018,2018.0,Simulation,0.03,0.0,0.0,0.0,0.03
365,MotoGP 15,2015.0,Racing,0.0,0.03,0.0,0.0,0.03
366,Raid: World War II,2017.0,Shooter,0.03,0.0,0.0,0.0,0.03
367,Carmageddon: Max Damage,2016.0,Action,0.02,0.01,0.0,0.0,0.03
368,INSIDE / LIMBO Double Pack,2017.0,Platform,0.03,0.0,0.0,0.0,0.03
369,Warhammer: The End Times - Vermintide,2016.0,Action,0.03,0.0,0.0,0.0,0.03
370,Stardew Valley,2017.0,Simulation,0.02,0.0,0.0,0.0,0.03
371,Ben 10 (2017),2017.0,Action,0.02,0.0,0.0,0.0,0.03
372,The Pillars of the Earth,2017.0,Adventure,0.02,0.0,0.0,0.0,0.03
373,Rime,2017.0,Adventure,0.02,0.0,0.0,0.0,0.03
374,Worms: WMD,2016.0,Strategy,0.02,0.0,0.0,0.0,0.02
375,Syberia III,2017.0,Adventure,0.02,0.0,0.0,0.0,0.02
376,Moto Racer 4,2016.0,Racing,0.02,0.0,0.0,0.0,0.02
377,Rugby League Live 4,2017.0,Sports,0.0,0.02,0.0,0.0,0.02
378,ABZU,2017.0,Adventure,0.02,0.0,0.0,0.0,0.02
379,Pharaonic,2017.0,Action,0.02,0.0,0.0,0.0,0.02
380,Geometry Wars 3: Dimensions Evolved,2016.0,Action,0.02,0.0,0.0,0.0,0.02
381,Resident Evil: Revelations,2017.0,Action,0.02,0.0,0.0,0.0,0.02
382,Broken Sword 5: The Serpent's Curse,2015.0,Adventure,0.0,0.02,0.0,0.0,0.02
383,Rugby World Cup 2015,2015.0,Sports,0.0,0.02,0.0,0.0,0.02
384,The Crew: Wild Run,2015.0,Racing,0.0,0.02,0.0,0.0,0.02
385,Prison Architect,2016.0,Simulation,0.02,0.0,0.0,0.0,0.02
386,The Dwarves,2016.0,Role-Playing,0.02,0.0,0.0,0.0,0.02
387,Big Buck Hunter Arcade,2017.0,Shooter,0.02,0.0,0.0,0.0,0.02
388,Redout,2017.0,Racing,0.02,0.0,0.0,0.0,0.02
389,Troll and I,2017.0,Action,0.02,0.0,0.0,0.0,0.02
390,Portal Knights,2017.0,Role-Playing,0.02,0.0,0.0,0.0,0.02
391,Shaq-Fu: A Legend Reborn,2018.0,Action,0.02,0.0,0.0,0.0,0.02
392,Psycho-Pass,2014.0,Visual Novel,0.0,0.0,0.02,0.0,0.02
393,Tropico 5,2016.0,Simulation,0.02,0.0,0.0,0.0,0.02
394,Back to the Future: The Game,2015.0,Adventure,0.0,0.02,0.0,0.0,0.02
395,Saints Row: Gat out of Hell,2015.0,Action,0.0,0.02,0.0,0.0,0.02
396,Mega Man Legacy Collection 2,2017.0,Action,0.02,0.0,0.0,0.0,0.02
397,Dungeons 3,2017.0,Strategy,0.02,0.0,0.0,0.0,0.02
398,Blackguards 2,2017.0,Strategy,0.02,0.0,0.0,0.0,0.02
399,Rogue Trooper: Redux,2017.0,Shooter,0.02,0.0,0.0,0.0,0.02
400,Vikings: Wolves of Midgard,2017.0,Action,0.01,0.0,0.0,0.0,0.02
401,The Inner World: The Last Wind Monk,2017.0,Puzzle,0.01,0.0,0.0,0.0,0.02
402,Assetto Corsa,2016.0,Racing,0.0,0.01,0.0,0.0,0.02
403,Le Tour de France 2017,2017.0,Simulation,0.0,0.01,0.0,0.0,0.02
404,Lock's Quest,2017.0,Strategy,0.01,0.0,0.0,0.0,0.02
405,WRC 5: FIA World Rally Championship,2015.0,Racing,0.0,0.01,0.0,0.0,0.02
406,FlatOut 4: Total Insanity,2017.0,Racing,0.01,0.0,0.0,0.0,0.01
407,Shadow Tactics: Blades of the Shogun,2017.0,Strategy,0.01,0.0,0.0,0.0,0.01
408,The Town of Light,2017.0,Adventure,0.01,0.0,0.0,0.0,0.01
409,Goat Simulator,2016.0,Simulation,0.0,0.01,0.0,0.0,0.01
410,Rugby League Live 3,2015.0,Sports,0.0,0.01,0.0,0.0,0.01
411,Assassin's Creed Chronicles,2016.0,Action,0.0,0.01,0.0,0.0,0.01
412,Sbastien Loeb Rally Evo,2016.0,Racing,0.0,0.01,0.0,0.0,0.01
413,Rugby Challenge 3,2016.0,Sports,0.0,0.01,0.0,0.0,0.01
414,Rabbids Invasion: The Interactive TV Show,2014.0,Misc,0.0,0.01,0.0,0.0,0.01
415,ZombiU,2016.0,Action,0.0,0.01,0.0,0.0,0.01
416,This War of Mine,2016.0,Action,0.0,0.01,0.0,0.0,0.01
417,Battle Worlds: Kronos,2016.0,Strategy,0.01,0.0,0.0,0.0,0.01
418,ScreamRide,2015.0,Simulation,0.0,0.01,0.0,0.0,0.01
419,Torment: Tides of Numenera,2017.0,Role-Playing,0.01,0.0,0.0,0.0,0.01
420,Ziggurat,2016.0,Shooter,0.0,0.01,0.0,0.0,0.01
421,ATV Renegades,2017.0,Racing,0.0,0.0,0.0,0.0,0.01
422,This Is The Police,2017.0,Simulation,0.0,0.0,0.0,0.0,0.01
423,Valhalla Hills,2017.0,Strategy,0.0,0.0,0.0,0.0,0.0
424,Handball 16,2015.0,Sports,0.0,0.0,0.0,0.0,0.0
425,Shovel Knight,2015.0,Platform,0.0,0.0,0.0,0.0,0.0
426,Blood Bowl 2,2015.0,Sports,0.0,0.0,0.0,0.0,0.0
427,The Peanuts Movie: Snoopy's Grand Adventure,2015.0,Platform,0.0,0.0,0.0,0.0,0.0
428,Farming 2017 - The Simulation,2016.0,Simulation,0.0,0.0,0.0,0.0,0.0
429,Kung Fu Panda: Showdown of Legendary Legends,2015.0,Action,0.0,0.0,0.0,0.0,0.0
430,Strider (2014),2014.0,Platform,0.0,0.0,0.0,0.0,0.0
431,The Amazing Spider-Man 2,2014.0,Misc,0.0,0.0,0.0,0.0,0.0
432,Mega Man Legacy Collection,2016.0,Platform,0.0,0.0,0.0,0.0,0.0
433,A Boy and His Blob,2016.0,Platform,0.0,0.0,0.0,0.0,0.0
434,Agatha Christie: The ABC Murders,2016.0,Adventure,0.0,0.0,0.0,0.0,0.0
435,Ancients of Ooga - The Forgotten Chapters,2016.0,Platform,0.0,0.0,0.0,0.0,0.0
436,Another World,2016.0,Adventure,0.0,0.0,0.0,0.0,0.0
437,Bladestorm: The Hundred Years' War,2015.0,Action,0.0,0.0,0.0,0.0,0.0
438,Brothers in Arms: Furious 4,2019.0,Shooter,0.0,0.0,0.0,0.0,0.0
439,Buzz Buzz Bang,2016.0,Action,0.0,0.0,0.0,0.0,0.0
440,Woolfe: The Red Hood Diaries,2016.0,Adventure,0.0,0.0,0.0,0.0,0.0
441,SlashDash,2016.0,Action,0.0,0.0,0.0,0.0,0.0
442,Devil May Cry 4,2015.0,Action,0.0,0.0,0.0,0.0,0.0
443,#IDARB,2016.0,Action,0.0,0.0,0.0,0.0,0.0
444,Frog Toss,2016.0,Misc,0.0,0.0,0.0,0.0,0.0
445,Gran Turismo 5 Prologue Spec III,2014.0,Misc,0.0,0.0,0.0,0.0,0.0
446,Industry Giant II,2017.0,Strategy,0.0,0.0,0.0,0.0,0.0
447,Killer Instinct,2020.0,Misc,0.0,0.0,0.0,0.0,0.0
448,King's Quest I: Quest for the Crown (VGA Version),2016.0,Misc,0.0,0.0,0.0,0.0,0.0
449,LIMBO,2016.0,Platform,0.0,0.0,0.0,0.0,0.0
450,Mount & Blade: Warband,2016.0,Role-Playing,0.0,0.0,0.0,0.0,0.0
451,Neverwinter,2016.0,Role-Playing,0.0,0.0,0.0,0.0,0.0
452,Pier Solar and the Great Architects,2016.0,Role-Playing,0.0,0.0,0.0,0.0,0.0
453,Spectra 8bit Racing,2016.0,Racing,0.0,0.0,0.0,0.0,0.0
454,Nero,2016.0,Puzzle,0.0,0.0,0.0,0.0,0.0
455,Pinball FX 2,2016.0,Misc,0.0,0.0,0.0,0.0,0.0
456,Gran Turismo HD Concept,2016.0,Misc,0.0,0.0,0.0,0.0,0.0
457,Dear Esther,2016.0,Adventure,0.0,0.0,0.0,0.0,0.0
458,Lightning Returns: Final Fantasy XIII,2013.0,Misc,0.0,0.0,0.0,0.0,0.0
459,Oddworld: Abe's Oddysee New N' Tasty!,2016.0,Platform,0.0,0.0,0.0,0.0,0.0
460,Lifeless Planet,2016.0,Puzzle,0.0,0.0,0.0,0.0,0.0
461,Slender: The Arrival,2015.0,Adventure,0.0,0.0,0.0,0.0,0.0
462,Lovers in a Dangerous Spacetime,2016.0,Action,0.0,0.0,0.0,0.0,0.0
463,Human Element,2015.0,Misc,0.0,0.0,0.0,0.0,0.0
464,Whore of the Orient,2020.0,Misc,0.0,0.0,0.0,0.0,0.0
465,Max: the Curse of Brotherhood,2016.0,Action-Adventure,0.0,0.0,0.0,0.0,0.0
466,Axiom Verge,2016.0,Action,0.0,0.0,0.0,0.0,0.0
467,Guacamelee!,2016.0,Action,0.0,0.0,0.0,0.0,0.0
468,Carmageddon: Reincarnation,2015.0,Misc,0.0,0.0,0.0,0.0,0.0
469,The Banner Saga,2016.0,Role-Playing,0.0,0.0,0.0,0.0,0.0
470,Cobalt,2016.0,Action,0.0,0.0,0.0,0.0,0.0
471,Plague Inc.,2016.0,Strategy,0.0,0.0,0.0,0.0,0.0
472,BADLAND,2016.0,Action,0.0,0.0,0.0,0.0,0.0
473,Halo: Spartan Assault,2016.0,Shooter,0.0,0.0,0.0,0.0,0.0
474,Halo 6,2020.0,Shooter,0.0,0.0,0.0,0.0,0.0
475,D4,2016.0,Adventure,0.0,0.0,0.0,0.0,0.0
476,Crimson Dragon,2016.0,Shooter,0.0,0.0,0.0,0.0,0.0
477,Below,2016.0,Action-Adventure,0.0,0.0,0.0,0.0,0.0
478,Peggle 2,2016.0,Misc,0.0,0.0,0.0,0.0,0.0
479,LocoCycle,2016.0,Action,0.0,0.0,0.0,0.0,0.0
480,Powerstar Golf,2016.0,Sports,0.0,0.0,0.0,0.0,0.0
481,Kingdom Hearts III,2019.0,Role-Playing,0.0,0.0,0.0,0.0,0.0
482,Black Tusk Studios Game,2020.0,Misc,0.0,0.0,0.0,0.0,0.0
483,KickBeat,2016.0,Misc,0.0,0.0,0.0,0.0,0.0
484,Reus,2016.0,Strategy,0.0,0.0,0.0,0.0,0.0
485,Rogue Legacy,2016.0,Action,0.0,0.0,0.0,0.0,0.0
486,Defense Grid 2,2016.0,Misc,0.0,0.0,0.0,0.0,0.0
487,Hellraid,2016.0,Misc,0.0,0.0,0.0,0.0,0.0
488,There Came an Echo,2016.0,Misc,0.0,0.0,0.0,0.0,0.0
489,Strike Suit Zero,2016.0,Misc,0.0,0.0,0.0,0.0,0.0
490,Fable Legends,2019.0,Role-Playing,0.0,0.0,0.0,0.0,0.0
491,WonderFlick,2014.0,Misc,0.0,0.0,0.0,0.0,0.0
492,Monochroma,2014.0,Misc,0.0,0.0,0.0,0.0,0.0
493,FORCED,2016.0,Role-Playing,0.0,0.0,0.0,0.0,0.0
494,Sea Animal Games for Toddlers and Kids with Jigsaw Puzzles,2013.0,Misc,0.0,0.0,0.0,0.0,0.0
495,Unmechanical,2016.0,Puzzle,0.0,0.0,0.0,0.0,0.0
496,Divekick,2016.0,Fighting,0.0,0.0,0.0,0.0,0.0
497,Child of Light,2016.0,Role-Playing,0.0,0.0,0.0,0.0,0.0
498,Valiant Hearts: The Great War,2016.0,Adventure,0.0,0.0,0.0,0.0,0.0
499,Hyper Light Drifter,2016.0,Role-Playing,0.0,0.0,0.0,0.0,0.0
500,Legend of Raven,2016.0,Misc,0.0,0.0,0.0,0.0,0.0
501,Xbox Fitness,2016.0,Misc,0.0,0.0,0.0,0.0,0.0
502,Raven's Cry,2014.0,Role-Playing,0.0,0.0,0.0,0.0,0.0
503,Shantae: Half-Genie Hero,2016.0,Platform,0.0,0.0,0.0,0.0,0.0
504,Tales from the Borderlands,2014.0,Adventure,0.0,0.0,0.0,0.0,0.0
505,Get Even,2015.0,Misc,0.0,0.0,0.0,0.0,0.0
506,Threes!,2016.0,Puzzle,0.0,0.0,0.0,0.0,0.0
507,Worms Battlegrounds,2016.0,Strategy,0.0,0.0,0.0,0.0,0.0
508,Stranger of Sword City,2016.0,Role-Playing,0.0,0.0,0.0,0.0,0.0
509,The Book of Unwritten Tales 2,2015.0,Adventure,0.0,0.0,0.0,0.0,0.0
510,Puyo Puyo Tetris,2014.0,Puzzle,0.0,0.0,0.0,0.0,0.0
511,Razor Global Domination Pro TourÊ,2016.0,Misc,0.0,0.0,0.0,0.0,0.0
512,Gone HomeÊ,2016.0,Adventure,0.0,0.0,0.0,0.0,0.0
513,Costume Quest 2,2016.0,Role-Playing,0.0,0.0,0.0,0.0,0.0
514,Aztez,2016.0,Misc,0.0,0.0,0.0,0.0,0.0
515,Not a Hero,2016.0,Misc,0.0,0.0,0.0,0.0,0.0
516,Cult County,2015.0,Misc,0.0,0.0,0.0,0.0,0.0
517,Adr1ft,2016.0,Adventure,0.0,0.0,0.0,0.0,0.0
518,R.B.I. Baseball 14,2014.0,Misc,0.0,0.0,0.0,0.0,0.0
519,Blue EstateÊ,2014.0,Misc,0.0,0.0,0.0,0.0,0.0
520,Source,2016.0,Misc,0.0,0.0,0.0,0.0,0.0
521,Chariot,2016.0,Adventure,0.0,0.0,0.0,0.0,0.0
522,Super Time Force,2016.0,Misc,0.0,0.0,0.0,0.0,0.0
523,Pure PoolÊ,2016.0,Sports,0.0,0.0,0.0,0.0,0.0
524,Never Alone,2016.0,Misc,0.0,0.0,0.0,0.0,0.0
525,Space Hulk: Deathwing,2015.0,Shooter,0.0,0.0,0.0,0.0,0.0
526,Red Goddess: Inner Mind,2016.0,Platform,0.0,0.0,0.0,0.0,0.0
527,Mystereet F: The Detectives' Curtain Call,2014.0,Misc,0.0,0.0,0.0,0.0,0.0
528,Chaos;Child,2014.0,Visual Novel,0.0,0.0,0.0,0.0,0.0
529,Fenix Rage,2016.0,Platform,0.0,0.0,0.0,0.0,0.0
530,FRU,2016.0,Puzzle,0.0,0.0,0.0,0.0,0.0
531,Shiness: The Lightning Kingdom,2016.0,Role-Playing,0.0,0.0,0.0,0.0,0.0
532,Ori and the Blind Forest,2016.0,Platform,0.0,0.0,0.0,0.0,0.0
533,Phantom Dust (2015),2016.0,Action,0.0,0.0,0.0,0.0,0.0
534,Scalebound,2014.0,Action,0.0,0.0,0.0,0.0,0.0
535,Crackdown 3,2019.0,Action,0.0,0.0,0.0,0.0,0.0
536,EA Sports PGA Tour,2015.0,Sports,0.0,0.0,0.0,0.0,0.0
537,Lara Croft and the Temple of Osiris,2014.0,Action,0.0,0.0,0.0,0.0,0.0
538,Wulverblade,2016.0,Action,0.0,0.0,0.0,0.0,0.0
539,Gunscape,2016.0,Action,0.0,0.0,0.0,0.0,0.0
540,Cuphead,2016.0,Action,0.0,0.0,0.0,0.0,0.0
541,Knight Squad,2016.0,Action,0.0,0.0,0.0,0.0,0.0
542,Dead Island 2,2017.0,Action,0.0,0.0,0.0,0.0,0.0
543,Inside,2016.0,Platform,0.0,0.0,0.0,0.0,0.0
544,Tetris UltimateÊ,2014.0,Puzzle,0.0,0.0,0.0,0.0,0.0
545,Afro Samurai 2,2015.0,Action,0.0,0.0,0.0,0.0,0.0
546,The Legend of Korra (2014),2014.0,Action,0.0,0.0,0.0,0.0,0.0
547,Azito x Tatsunoko Legends,2016.0,Simulation,0.0,0.0,0.0,0.0,0.0
548,Shooting Love Trilogy,2015.0,Shooter,0.0,0.0,0.0,0.0,0.0
549,AirMech Arena,2016.0,Action,0.0,0.0,0.0,0.0,0.0
550,The Walking Dead: Season Three,2016.0,Action,0.0,0.0,0.0,0.0,0.0
551,King of Wushu,2015.0,Action,0.0,0.0,0.0,0.0,0.0
552,MercuryÊ,2015.0,Action,0.0,0.0,0.0,0.0,0.0
553,Pneuma: Breath of Life,2016.0,Puzzle,0.0,0.0,0.0,0.0,0.0
554,The Escapists,2016.0,Action,0.0,0.0,0.0,0.0,0.0
555,Superhot,2016.0,Shooter,0.0,0.0,0.0,0.0,0.0
556,Spectra,2016.0,Racing,0.0,0.0,0.0,0.0,0.0
557,Space Engineers,2016.0,Simulation,0.0,0.0,0.0,0.0,0.0
558,No Time to Explain,2016.0,Action,0.0,0.0,0.0,0.0,0.0
559,Funk of Titans,2016.0,Platform,0.0,0.0,0.0,0.0,0.0
560,Fruit Ninja Kinect 2,2016.0,Action,0.0,0.0,0.0,0.0,0.0
561,Blues and Bullets,2016.0,Action-Adventure,0.0,0.0,0.0,0.0,0.0
562,Game 4,2016.0,Strategy,0.0,0.0,0.0,0.0,0.0
563,Raiden V,2016.0,Action,0.0,0.0,0.0,0.0,0.0
564,Assassin's Creed Chronicles: China,2015.0,Action-Adventure,0.0,0.0,0.0,0.0,0.0
565,Pathologic,2015.0,Adventure,0.0,0.0,0.0,0.0,0.0
566,Geometry Wars 3: Dimensions,2016.0,Shooter,0.0,0.0,0.0,0.0,0.0
567,Assassin's Creed: Victory,2015.0,Action,0.0,0.0,0.0,0.0,0.0
568,The Banner Saga 2,2016.0,Role-Playing,0.0,0.0,0.0,0.0,0.0
569,Gigantic,2016.0,Action,0.0,0.0,0.0,0.0,0.0
570,Magic Duels: Origin,2016.0,Misc,0.0,0.0,0.0,0.0,0.0
571,Shiftlings,2016.0,Platform,0.0,0.0,0.0,0.0,0.0
572,Oceanhorn: Monster of Uncharted Seas,2016.0,Action,0.0,0.0,0.0,0.0,0.0
573,Beyond Eyes,2016.0,Adventure,0.0,0.0,0.0,0.0,0.0
574,Inside My Radio,2016.0,Platform,0.0,0.0,0.0,0.0,0.0
575,Kaiju Panic,2016.0,Strategy,0.0,0.0,0.0,0.0,0.0
576,Tembo the Badass Elephant,2016.0,Platform,0.0,0.0,0.0,0.0,0.0
577,Assassin's Creed Chronicles: Russia,2016.0,Action,0.0,0.0,0.0,0.0,0.0
578,Assassin's Creed Chronicles: India,2016.0,Action,0.0,0.0,0.0,0.0,0.0
579,Overlord: Fellowship of Evil,2016.0,Action,0.0,0.0,0.0,0.0,0.0
580,R.B.I. Baseball 15,2015.0,Sports,0.0,0.0,0.0,0.0,0.0
581,The Walking Dead: Michonne,2016.0,Adventure,0.0,0.0,0.0,0.0,0.0
582,Unravel,2016.0,Platform,0.0,0.0,0.0,0.0,0.0
583,Tachyon Project,2016.0,Action,0.0,0.0,0.0,0.0,0.0
584,Cross Reverie,2017.0,Role-Playing,0.0,0.0,0.0,0.0,0.0
585,Goosebumps: The Game,2016.0,Adventure,0.0,0.0,0.0,0.0,0.0
586,The Escapists: The Walking Dead,2015.0,Action,0.0,0.0,0.0,0.0,0.0
587,Woodcutter Simulator 2016,2015.0,Action,0.0,0.0,0.0,0.0,0.0
588,Professional Farmer 2016,2015.0,Action,0.0,0.0,0.0,0.0,0.0
589,Professional Lumberjack 2016,2015.0,Simulation,0.0,0.0,0.0,0.0,0.0
590,Alekhine's Gun,2016.0,Action,0.0,0.0,0.0,0.0,0.0
591,World to the West,2017.0,Action-Adventure,0.0,0.0,0.0,0.0,0.0
592,The Binding of Isaac: Rebirth,2016.0,Action,0.0,0.0,0.0,0.0,0.0
593,Super Dungeon Bros,2016.0,Action,0.0,0.0,0.0,0.0,0.0
594,Pro Cycling Manager 2016,2016.0,Sports,0.0,0.0,0.0,0.0,0.0
595,De-formers,2016.0,Action,0.0,0.0,0.0,0.0,0.0
596,Wonder Boy: The Dragon's Trap (Remake),2016.0,Platform,0.0,0.0,0.0,0.0,0.0
597,Rock of Ages II: Bigger and Boulder,2016.0,Action,0.0,0.0,0.0,0.0,0.0
598,Fe,2016.0,Action,0.0,0.0,0.0,0.0,0.0
599,We Sing (2016),2016.0,Music,0.0,0.0,0.0,0.0,0.0
600,Don Bradman Cricket 17,2016.0,Sports,0.0,0.0,0.0,0.0,0.0
601,Ace Combat 7: Skies Unknown,2019.0,Shooter,0.0,0.0,0.0,0.0,0.0
602,The Sexy Brutale,2016.0,Adventure,0.0,0.0,0.0,0.0,0.0
603,Metro Exodus,2019.0,Shooter,0.0,0.0,0.0,0.0,0.0
604,Anthem,2019.0,Role-Playing,0.0,0.0,0.0,0.0,0.0
605,AereA,2017.0,Role-Playing,0.0,0.0,0.0,0.0,0.0
606,Moons Of Madness,2018.0,Role-Playing,0.0,0.0,0.0,0.0,0.0
607,Iron Harvest,2018.0,Strategy,0.0,0.0,0.0,0.0,0.0
608,Biomutant,2018.0,Action,0.0,0.0,0.0,0.0,0.0
609,Biomutant,2019.0,Action,0.0,0.0,0.0,0.0,0.0
610,de Blob,2017.0,Platform,0.0,0.0,0.0,0.0,0.0
611,Outcast: Second Contact,2017.0,Adventure,0.0,0.0,0.0,0.0,0.0
612,Code Vein,2019.0,Action,0.0,0.0,0.0,0.0,0.0
