,Game,Year,Genre,North America,Europe,Japan,Rest of World,Global
90,Minecraft: Story Mode,2015.0,Adventure,0.46,0.24,0.0,0.07,0.77
91,Fortnite,2017.0,Action,0.6,0.09,0.0,0.08,0.77
92,Quantum Break,2016.0,Action,0.42,0.25,0.02,0.07,0.76
93,Wolfenstein: The New Order,2014.0,Shooter,0.39,0.3,0.0,0.06,0.75
94,Rock Band 4,2015.0,Music,0.62,0.05,0.0,0.08,0.75
95,Need for Speed (2015),2015.0,Racing,0.35,0.33,0.0,0.06,0.74
96,The Sims 4,2017.0,Simulation,0.42,0.24,0.0,0.07,0.73
97,Need for Speed: Payback,2017.0,Racing,0.42,0.24,0.0,0.07,0.73
98,Dead Rising 4,2016.0,Action-Adventure,0.41,0.25,0.0,0.06,0.73
99,LEGO Dimensions,2015.0,Action,0.47,0.18,0.0,0.07,0.72
100,The Crew,2014.0,Racing,0.32,0.34,0.0,0.06,0.71
101,Plants vs Zombies: Garden Warfare,2014.0,Shooter,0.39,0.25,0.0,0.06,0.71
102,Need for Speed Rivals,2013.0,Racing,0.45,0.19,0.0,0.07,0.7
103,Wolfenstein II: The New Colossus,2017.0,Shooter,0.45,0.19,0.0,0.07,0.7
104,The Evil Within,2014.0,Misc,0.36,0.27,0.0,0.06,0.69
105,LEGO Worlds,2017.0,Misc,0.28,0.35,0.0,0.05,0.69
106,Borderlands: The Handsome Collection,2015.0,Shooter,0.49,0.13,0.0,0.07,0.68
107,Evolve,2015.0,Shooter,0.4,0.2,0.0,0.06,0.67
108,WWE 2K18,2017.0,Sports,0.35,0.25,0.0,0.06,0.66
109,Tomb Raider (2013),2014.0,Action-Adventure,0.38,0.22,0.0,0.06,0.66
110,The LEGO Movie Videogame,2014.0,Action-Adventure,0.42,0.17,0.0,0.06,0.65
111,WWE 2K16,2015.0,Sports,0.34,0.24,0.0,0.06,0.63
112,Kinect Sports Rivals,2014.0,Sports,0.3,0.25,0.02,0.05,0.62
113,South Park: The Fractured But Whole,2017.0,Role-Playing,0.4,0.17,0.0,0.06,0.62
114,WWE 2K15,2014.0,Sports,0.32,0.23,0.0,0.05,0.61
115,EA Sports UFC 2,2016.0,Sports,0.36,0.19,0.0,0.06,0.61
116,NHL 17,2016.0,Sports,0.52,0.01,0.0,0.06,0.6
117,Tekken 7,2017.0,Fighting,0.3,0.23,0.0,0.05,0.58
118,LEGO Marvel Super Heroes 2,2017.0,Action,0.32,0.2,0.0,0.05,0.57
119,WWE 2K17,2016.0,Sports,0.26,0.26,0.0,0.05,0.57
120,Disney Infinity 2.0: Marvel Super Heroes,2014.0,Action-Adventure,0.35,0.15,0.0,0.05,0.55
121,Just Dance 2015,2014.0,Music,0.36,0.13,0.0,0.05,0.54
122,Dragon Ball Fighter Z,2018.0,Fighting,0.38,0.09,0.0,0.05,0.52
123,Alien: Isolation,2014.0,Adventure,0.23,0.25,0.0,0.04,0.52
124,Halo Wars 2,2017.0,Strategy,0.31,0.15,0.0,0.05,0.51
125,NHL 16,2015.0,Sports,0.41,0.05,0.0,0.05,0.51
126,Lego Star Wars: The Force Awakens,2016.0,Action-Adventure,0.24,0.22,0.0,0.04,0.5
127,Mad Max (2013),2015.0,Action,0.29,0.16,0.0,0.05,0.5
128,LEGO Marvel's Avengers,2016.0,Action,0.26,0.18,0.0,0.04,0.48
129,Zoo Tycoon (2013),2013.0,Simulation,0.25,0.18,0.0,0.04,0.48
130,Steep,2016.0,Sports,0.24,0.2,0.0,0.04,0.48
131,Thief 4,2014.0,Action,0.26,0.17,0.0,0.04,0.48
132,Just Dance 2014,2013.0,Music,0.31,0.12,0.0,0.04,0.48
133,EA Sports UFC,2014.0,Fighting,0.3,0.13,0.0,0.04,0.48
134,BioShock The Collection,2016.0,Shooter,0.35,0.08,0.0,0.05,0.48
135,Dragon Ball: Xenoverse 2,2016.0,Action,0.33,0.09,0.0,0.05,0.47
136,ARK: Survival Evolved,2017.0,Action-Adventure,0.3,0.12,0.0,0.04,0.46
137,Disney Infinity 3.0,2015.0,Action,0.3,0.12,0.0,0.04,0.46
138,Prey (2017),2017.0,Shooter,0.21,0.2,0.0,0.04,0.45
139,Skylanders: Trap Team,2014.0,Platform,0.34,0.07,0.0,0.04,0.45
140,Lego Batman 3: Beyond Gotham,2014.0,Action,0.24,0.17,0.0,0.04,0.44
141,EA Sports UFC 3,2018.0,Sports,0.3,0.1,0.0,0.04,0.44
142,Rocksmith 2014,2014.0,Music,0.31,0.08,0.0,0.04,0.43
143,Sniper Elite 3,2014.0,Shooter,0.27,0.12,0.0,0.04,0.43
144,Hello Neighbor,2017.0,Action,0.27,0.11,0.0,0.04,0.42
145,NHL 15,2014.0,Sports,0.32,0.06,0.0,0.04,0.42
